customer_id,avg_monthly_balance,avg_monthly_inflow,avg_monthly_outflow,num_bounced_payments_last_year,num_active_credit_lines
CUST100000,12100.0,64300.0,19600.0,1,1
CUST100001,1900.0,21200.0,21100.0,0,2
CUST100002,13500.0,33900.0,22500.0,0,0
CUST100003,10100.0,38100.0,21500.0,0,0
CUST100004,25700.0,65100.0,49900.0,1,0
CUST100005,9000.0,62800.0,24400.0,1,1
CUST100006,12600.0,40800.0,33500.0,0,1
CUST100007,15900.0,46600.0,23400.0,0,2
CUST100008,131800.0,14500.0,28100.0,0,3
CUST100009,10100.0,35300.0,37800.0,0,2
CUST100010,12000.0,21500.0,65900.0,0,0
CUST100011,4500.0,69600.0,26200.0,0,0
CUST100012,25400.0,33600.0,29000.0,0,3
CUST100013,36600.0,50000.0,30100.0,1,3
CUST100014,22400.0,29800.0,18400.0,1,1
CUST100015,72400.0,35500.0,18700.0,0,0
CUST100016,9800.0,12300.0,10700.0,1,3
CUST100017,8900.0,25500.0,17300.0,0,3
CUST100018,47900.0,24400.0,13600.0,0,0
CUST100019,22300.0,25100.0,21500.0,1,2
CUST100020,54100.0,70800.0,25400.0,0,1
CUST100021,2100.0,38000.0,19400.0,0,1
CUST100022,16100.0,58100.0,21900.0,0,0
CUST100023,10500.0,24200.0,12100.0,0,2
CUST100024,23800.0,12600.0,27700.0,1,1
CUST100025,800.0,27900.0,7000.0,1,1
CUST100026,4800.0,14500.0,48200.0,0,4
CUST100027,11800.0,21300.0,15800.0,1,0
CUST100028,41500.0,32800.0,28300.0,0,1
CUST100029,9000.0,51000.0,8200.0,1,0
CUST100030,6900.0,133000.0,16800.0,0,4
CUST100031,5600.0,48000.0,36500.0,0,2
CUST100032,17500.0,65700.0,31100.0,0,2
CUST100033,15100.0,28700.0,47300.0,1,2
CUST100034,13000.0,30700.0,13300.0,0,2
CUST100035,88500.0,24400.0,37400.0,0,1
CUST100036,10800.0,60600.0,33200.0,0,2
CUST100037,43300.0,21400.0,31300.0,0,1
CUST100038,9800.0,48100.0,17100.0,0,0
CUST100039,12900.0,26000.0,74800.0,0,0
CUST100040,10300.0,30900.0,25100.0,0,1
CUST100041,46600.0,49600.0,66900.0,0,2
CUST100042,11800.0,21900.0,4600.0,0,0
CUST100043,3400.0,16900.0,66400.0,0,1
CUST100044,22800.0,49100.0,19300.0,0,2
CUST100045,4800.0,26600.0,17800.0,0,0
CUST100046,4600.0,45000.0,41700.0,0,1
CUST100047,11800.0,27200.0,20300.0,1,2
CUST100048,29800.0,21600.0,13300.0,1,1
CUST100049,9200.0,10800.0,20900.0,0,1
CUST100050,98200.0,18600.0,19200.0,0,1
CUST100051,2200.0,51400.0,33800.0,0,2
CUST100052,39400.0,26400.0,68600.0,3,2
CUST100053,43700.0,17200.0,52800.0,1,3
CUST100054,2600.0,13300.0,80500.0,1,1
CUST100055,47700.0,68100.0,9100.0,0,1
CUST100056,42300.0,41200.0,70200.0,2,0
CUST100057,31700.0,44500.0,15900.0,1,3
CUST100058,3400.0,31500.0,33600.0,0,2
CUST100059,14100.0,8700.0,13900.0,1,2
CUST100060,35700.0,9700.0,11000.0,0,0
CUST100061,43000.0,40000.0,8100.0,0,1
CUST100062,121700.0,22800.0,21200.0,0,2
CUST100063,15600.0,28700.0,23600.0,1,2
CUST100064,33500.0,21700.0,38800.0,1,0
CUST100065,15700.0,21900.0,15200.0,0,0
CUST100066,14100.0,61200.0,47500.0,0,1
CUST100067,7400.0,25900.0,17000.0,0,3
CUST100068,1200.0,33600.0,32100.0,1,0
CUST100069,3300.0,51000.0,37700.0,1,1
CUST100070,32200.0,22500.0,26300.0,0,9
CUST100071,17800.0,13800.0,67500.0,0,0
CUST100072,18800.0,28000.0,9500.0,0,5
CUST100073,6800.0,19100.0,13200.0,2,1
CUST100074,16300.0,50500.0,63200.0,0,0
CUST100075,28800.0,20200.0,19100.0,1,0
CUST100076,11000.0,83600.0,37800.0,0,1
CUST100077,8500.0,81200.0,26200.0,0,1
CUST100078,3900.0,46100.0,42500.0,0,3
CUST100079,35500.0,42900.0,18300.0,2,1
CUST100080,9600.0,30700.0,22900.0,0,1
CUST100081,15500.0,15200.0,97300.0,0,0
CUST100082,43200.0,40500.0,47600.0,1,0
CUST100083,10400.0,53700.0,5300.0,1,1
CUST100084,20200.0,47000.0,14600.0,0,2
CUST100085,94800.0,20700.0,18200.0,2,0
CUST100086,98300.0,26400.0,20600.0,0,2
CUST100087,8800.0,32600.0,17000.0,1,0
CUST100088,18600.0,37100.0,46600.0,0,3
CUST100089,25700.0,32400.0,7100.0,1,2
CUST100090,15500.0,26500.0,12600.0,0,1
CUST100091,11600.0,64300.0,9500.0,1,2
CUST100092,18100.0,20400.0,16300.0,1,2
CUST100093,7100.0,29000.0,20300.0,0,1
CUST100094,32000.0,11200.0,17400.0,0,1
CUST100095,26800.0,52000.0,18200.0,0,2
CUST100096,4300.0,20700.0,11000.0,1,1
CUST100097,33600.0,16300.0,39800.0,1,1
CUST100098,13400.0,31500.0,24000.0,0,2
CUST100099,4900.0,27400.0,11400.0,1,1
CUST100100,10300.0,40900.0,14400.0,0,1
CUST100101,9500.0,10900.0,9400.0,0,3
CUST100102,111200.0,15200.0,37900.0,2,2
CUST100103,40800.0,26500.0,24200.0,2,1
CUST100104,28300.0,24900.0,28100.0,0,1
CUST100105,22200.0,41200.0,15900.0,0,2
CUST100106,39700.0,22200.0,29600.0,0,2
CUST100107,16300.0,24000.0,25500.0,1,1
CUST100108,7900.0,11700.0,47000.0,0,1
CUST100109,3200.0,40500.0,13700.0,0,3
CUST100110,9500.0,9900.0,33500.0,0,1
CUST100111,27600.0,14000.0,35300.0,0,3
CUST100112,9100.0,8200.0,24200.0,0,0
CUST100113,70400.0,50500.0,7700.0,0,1
CUST100114,61300.0,58200.0,25000.0,1,2
CUST100115,22400.0,22700.0,77200.0,0,1
CUST100116,15300.0,8000.0,22200.0,0,1
CUST100117,6500.0,24800.0,31900.0,0,2
CUST100118,13700.0,18500.0,11900.0,1,0
CUST100119,12400.0,20800.0,18600.0,1,2
CUST100120,6200.0,20400.0,48600.0,0,3
CUST100121,29100.0,12300.0,31600.0,0,1
CUST100122,139500.0,53900.0,33300.0,0,0
CUST100123,32200.0,25800.0,36000.0,0,1
CUST100124,21000.0,75600.0,17000.0,1,0
CUST100125,30900.0,34600.0,25500.0,0,1
